objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
35,Land,State,BEN,BEN,Benin,Benin,1.19409E+11,2377252.525,115179.3273,0.812064091,0.048099311,0.139836599,0.850814559,0.060092643,0.089092799,0.013559764,NA,0.933770231,0.000359774,0.052310231
36,Land,State,BFA,BFA,Burkina Faso,Burkina Faso,2.88244E+11,3544387.35,273477.2618,0.90660333,0.00224628,0.09115039,0.941731906,0.011800006,0.046468088,0.002532847,0.00016249,0.950197124,0.009446115,0.037661423
37,EEZ,200NM,BGD,BGD,Bangladesh,Bangladesh,57258158282,3488474.162,50146.03901,0.752527607,0.00275484,0.244717553,0.947342451,NA,0.052657549,0.000365883,0.001050866,0.803402524,NA,0.195180727
38,EEZ,200NM,BGD,BGD,Not Applicable,Not Applicable,71323425099,12789835.98,62555.16769,0.68874481,0.00103947,0.310215721,0.915388973,0.007608678,0.07700235,0.007202736,NA,0.758950364,NA,0.233846899
39,Land,State,BGD,BGD,Bangladesh,Bangladesh,1.65588E+11,18147460.53,137349.8004,0.776661526,0.028905791,0.194432682,0.912902678,0.000256163,0.086841159,0.004997005,0.000732028,0.852822412,0.000210399,0.141238157
40,EEZ,200NM,BGR,BGR,Not Applicable,Not Applicable,64868050504,1397772.891,34692.83055,0.978127923,0.002005875,0.019866201,0.97732925,0.001374318,0.021296432,0.001887848,0.000291781,0.996639609,9.15884824619143e-05,0.001089174
41,Land,State,BGR,BGR,Bulgaria,Bulgaria,2.07114E+11,3153183.795,111580.4534,0.113282648,0.679674044,0.207043307,0.815266944,0.09262959,0.092103465,0.001532853,0.004636493,0.242601491,0.047712014,0.703517149
42,EEZ,200NM,BHR,BHR,Not Applicable,Not Applicable,9395846186,1107115.603,7504.267134,0.352885129,NA,0.647114871,0.829265801,NA,0.170734199,0.000511315,NA,0.522596697,NA,0.476891987
43,Land,State,BHR,BHR,Bahrain,Bahrain,941121477.7,617998.2678,744.5587268,0.633906023,NA,0.366093977,0.633910301,NA,0.366089699,0.036176006,NA,0.92764371,NA,0.036180284
44,EEZ,200NM,BHS,BHS,Not Applicable,Not Applicable,7.60542E+11,15287526.02,619727.843,0.948067543,0.031661553,0.020270904,0.921578245,0.053183331,0.025238424,0.029048022,4.13768752400408e-05,0.968207976,0.000143901,0.002558724
45,Land,State,BHS,BHS,Bahamas,Bahamas,16057001569,11373505.43,13137.73254,0.611905347,0.014499393,0.37359526,0.352802485,0.053167024,0.59403049,0.28576887,0.001863605,0.663408756,0.022292761,0.026666008
46,EEZ,200NM,BIH,BIH,Not Applicable,Not Applicable,24213107.95,49699.73157,7.558420207,NA,0.916688886,0.083311114,0.833333337,NA,0.166666663,NA,0.083355549,0.083311114,NA,0.833333337
47,Land,State,BIH,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,99322251437,2003342.919,51093.83292,0.454170271,0.490223256,0.055606473,0.761499541,0.197683672,0.040816787,0.006477635,0.013730441,0.662513895,0.003471124,0.313806905
48,Land,State,BLR,BLR,Belarus,Belarus,5.86024E+11,5649372.646,207012.8733,0.915406674,NA,0.084593326,0.944566578,NA,0.055433422,0.002824121,NA,0.965191853,NA,0.031984026
49,EEZ,200NM,BLZ,BLZ,Not Applicable,Not Applicable,37806067059,2528100.661,34338.85426,0.510408708,0.004738465,0.484852826,0.510024915,0.026351215,0.46362387,0.019137501,0.000238562,0.956632842,0.005237389,0.018753707
50,Land,State,BLZ,BLZ,Belize,Belize,24234165266,2275389.996,21913.19868,0.242902763,0.037491853,0.719605383,0.295656102,0.097799359,0.606544539,0.007039304,0.000636553,0.846134822,0.086396678,0.059792642
51,Land,State,BOL,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),1.19114E+12,6956386.491,1083458.417,0.36355703,0.128437641,0.508005328,0.542904347,0.248964691,0.208130962,0.071449606,0.000272165,0.600766977,0.076714329,0.250796922
52,EEZ,200NM,BRA,BRA,Not Applicable,Not Applicable,4.05389E+12,62065921.47,3675563.047,0.976324186,0.010068337,0.013607477,0.973411504,0.017307519,0.009280977,0.009419931,4.33607929472703e-05,0.98272679,0.001302668,0.006507249
53,Land,State,BRA,BRA,Brazil,Brazil,9.0191E+12,64273761.07,8472491.271,0.484209368,0.052175504,0.463615129,0.726493795,0.12509045,0.148415755,0.042581462,0.00033452,0.602765222,0.069452907,0.284865889
54,EEZ,200NM,BRB,BRB,Not Applicable,Not Applicable,1.96623E+11,1795755.229,184542.8875,0.977382927,0.021561155,0.001055918,0.936143064,0.062737821,0.001119116,0.041294002,NA,0.958651859,NA,5.41385772723711e-05
55,Land,State,BRB,BRB,Barbados,Barbados,460676999,102509.2223,432.2652867,0.780370314,0.048162268,0.171467418,0.641671592,0.156044979,0.202283428,0.169531138,0.001926355,0.793856742,0.00385335,0.030832416
56,EEZ,Joint regime,BRB; GUY,BRB; GUY,Not Applicable,Not Applicable,69982961.58,40604.94102,66.38930301,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA
57,EEZ,200NM,BRN,BRN,Not Applicable,Not Applicable,43920603404,1420930.474,42989.19111,0.988053899,0.000217662,0.011728439,0.987836929,9.87744996452513e-05,0.012064297,0.001465172,9.90721357538146e-05,0.997187555,NA,0.001248201
58,Land,State,BRN,BRN,Brunei Darussalam,Brunei Darussalam,5837340858,864276.6621,5728.438079,0.080595948,0.103959216,0.815444836,0.066916783,0.478139865,0.454943351,0.039703114,0.009814894,0.563361733,0.361096309,0.02602395
59,Land,State,BTN,BTN,Bhutan,Bhutan,49368017186,1274027.427,38720.14467,0.304173921,5.88751315580482e-05,0.695767204,0.564863296,0.022237311,0.412899393,0.017478743,NA,0.695746211,0.008606928,0.278168118
60,Land,State,BWA,BWA,Botswana,Botswana,6.78332E+11,4607131.478,577794.0591,0.654486409,0.002523905,0.342989686,0.651805385,0.020021306,0.328173309,0.003572635,0.000305277,0.979409907,0.015820571,0.000891611
61,Land,State,CAF,CAF,Central African Republic,Central African Republic,6.3307E+11,5535859.808,620088.0291,0.637677766,0.067367089,0.294955145,0.801344256,0.140715082,0.057940662,0.046482451,0.003916262,0.70835534,0.031097006,0.210148941
62,EEZ,200NM,CAN,CAN,Not Applicable,Not Applicable,6.72149E+13,830276465.7,5753367.964,0.972512357,0.001458828,0.026028814,0.977256344,0.00348847,0.019255186,0.003952031,5.72840473366762e-07,0.987288127,6.32514273261e-05,0.008696018
63,Land,State,CAN,CAN,Canada,Canada,5.12093E+13,800866239,9944095.425,0.615600263,3.43886865534724e-05,0.384365349,0.884539707,1.82995392668056e-06,0.115458463,0.003954567,4.58464302139681e-07,0.723149744,1.2198092978575e-06,0.272894011
64,EEZ,Overlapping claim,CAN; USA,CAN; USA,Not Applicable,Not Applicable,2.59561E+11,2964755.507,24781.17753,1,NA,NA,0.999951473,NA,4.85274332142879e-05,4.85274332142879e-05,NA,0.999951473,NA,NA
65,Land,State,CHE,CHE,Switzerland,Switzerland,87995986846,2666985.019,41217.94488,0.668164313,0.213948073,0.117887614,0.811314191,0.113224266,0.075461544,0.028869317,0.00264797,0.784781752,0.011681767,0.172019194
66,EEZ,200NM,CHL,CHL,Not Applicable,Not Applicable,6.17508E+12,137236450.7,3669628.805,0.997023744,0.001241788,0.001734468,0.873024635,0.001028074,0.125947292,0.125715759,0.000209539,0.872336091,2.19598301220446e-05,0.00171665
67,Land,State,CHL,CHL,Chile,Chile,1.30112E+12,128334085.1,752588.5194,0.694063191,0.038789105,0.267147704,0.849205374,0.01300941,0.137785217,0.032285235,0.004608437,0.768112559,0.007566351,0.187427417
68,EEZ,200NM,CHN,CHN,Not Applicable,Not Applicable,1.2622E+12,48103679.17,964962.5835,0.969340994,0.001491432,0.029167575,0.971980176,2.72839714116619e-05,0.02799254,0.001981197,0.000154179,0.993243424,8.21236286023349e-07,0.004620378
69,Land,State,CHN,CHN,China,China,1.4885E+13,70105485.79,9347081.769,0.815144242,0.01247022,0.172385538,0.870715508,0.020295355,0.108989137,0.034766625,0.000141002,0.873392133,0.001362347,0.090337892
