objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
105,Land,State,DNK,DNK,Denmark,Denmark,1.38595E+11,11191190.4,43524.61119,39056.66822,NA,4467.942968,37913.41146,NA,5611.199727,1396.847212,NA,41874.17353,NA,253.5904528
106,EEZ,200NM,FRO,DNK,Not Applicable,Not Applicable,1.24461E+12,6498587.97,263637.6396,263348.2168,66.06772241,223.3551541,262930.437,53.44557664,653.7571021,483.9988717,20.15423861,263067.2675,NA,66.21906941
107,Land,Territory,FRO,DNK,Faroe Islands,Faroe Islands (Denmark),6430590213,2006930.755,1412.658915,826.522722,406.1894594,179.9467337,1142.826211,NA,269.8327043,69.35011197,32.68671533,924.9684871,NA,385.6536008
108,EEZ,200NM,GRL,DNK,Not Applicable,Not Applicable,5.64968E+13,292166123.6,2274771.193,2160124.029,26.26097375,114620.9033,2155068.623,236.3241916,119466.2466,5244.778749,NA,2269337.042,NA,189.3722179
109,Land,Self Governing Territory,GRL,DNK,Greenland,Greenland (Denmark),3.55859E+13,251876554,2162413.768,1252708.919,NA,909704.8484,1250217.698,NA,912196.0695,4420.581399,NA,2156063.826,NA,1929.360256
110,EEZ,Joint regime,FRO; ISL,DNK; ISL,Not Applicable,Not Applicable,6146036795,671509.2498,1274.951917,1274.951917,NA,NA,1274.951917,NA,NA,NA,NA,1274.951917,NA,NA
111,EEZ,200NM,DOM,DOM,Not Applicable,Not Applicable,3.88883E+11,4817797.297,343962.1915,304930.9443,1686.632841,37344.61434,313222.253,4720.40815,26019.53031,2653.610043,16.17282719,329410.029,937.4608634,10944.91877
112,Land,State,DOM,DOM,Dominican Republic,Dominican Republic,54014080765,2108009.574,48100.59857,25402.44021,1123.641314,21574.51705,32661.38268,5485.050434,9954.165452,3587.067052,19.43623393,31113.66327,2534.422481,10846.00953
113,EEZ,Joint regime,DOM; COL,DOM; COL,Not Applicable,Not Applicable,14136131869,522943.7227,13109.83076,13006.39844,2.476304189,100.9560118,13107.35446,2.476304189,NA,0.825445488,NA,13007.22386,NA,101.7814573
114,EEZ,200NM,DZA,DZA,Not Applicable,Not Applicable,2.07215E+11,3434750.837,131096.8053,125644.4994,2055.083283,3397.222615,126864.1221,4055.137928,177.5452955,1983.239962,0.700654805,125637.4679,272.5341349,3202.862636
115,Land,State,DZA,DZA,Algeria,Algeria,3.00198E+12,9208540.231,2308329.523,2065556.857,65925.4406,176847.2257,2098099.655,90715.51598,119514.352,32165.94685,27931.44648,2117687.837,65835.54719,64708.74517
116,EEZ,200NM,ECU,ECU,Not Applicable,Not Applicable,1.06043E+12,9861563.992,1051299.206,845554.9141,158.0858996,205586.2056,909987.9852,464.8560352,140846.3643,469.0609652,NA,985799.8396,128.1728747,64902.13214
117,Land,State,ECU,ECU,Ecuador,Ecuador,2.57544E+11,7173251.75,255511.3249,13907.25608,22537.77104,219066.2978,78578.54235,113162.8611,63769.92138,4081.053225,111.0864541,81028.59466,101538.251,68752.3395
118,EEZ,Joint regime,ECU; COL,ECU; COL,Not Applicable,Not Applicable,18777398455,1155732.785,18550.87544,18547.4572,3.418244705,NA,18545.74803,5.127412537,NA,1.709167832,NA,18549.16627,NA,NA
